stock_id,_time,time,start,end,lowest,highest,volume
002932.XSHE,2021-10-28,2021-9-1,40.42,43.99,40.24,43.99,7239683.0
002932.XSHE,2021-10-28,2021-9-2,44.17,44.36,44.0,46.11,7637144.0
002932.XSHE,2021-10-28,2021-9-3,43.64,43.78,42.69,44.24,4593353.0
002932.XSHE,2021-10-28,2021-9-6,43.76,44.92,42.45,45.79,5155051.0
002932.XSHE,2021-10-28,2021-9-7,44.87,43.74,43.41,44.9,3653413.0
002932.XSHE,2021-10-28,2021-9-8,43.69,42.44,42.26,43.69,3742214.0
002932.XSHE,2021-10-28,2021-9-9,42.45,42.18,41.74,42.77,2117280.0
002932.XSHE,2021-10-28,2021-9-10,42.16,41.91,41.5,42.16,2061982.0
002932.XSHE,2021-10-28,2021-9-13,43.64,43.2,42.78,44.03,3731993.0
002932.XSHE,2021-10-28,2021-9-14,43.34,43.0,42.76,44.03,3201288.0
002932.XSHE,2021-10-28,2021-9-15,42.11,41.7,41.5,42.36,2798287.0
002932.XSHE,2021-10-28,2021-9-16,41.69,40.34,40.33,41.7,2745124.0
002932.XSHE,2021-10-28,2021-9-17,40.35,42.71,39.71,43.57,4532711.0
002932.XSHE,2021-10-28,2021-9-22,42.12,41.19,39.83,42.5,2576282.0
002932.XSHE,2021-10-28,2021-9-23,41.19,41.31,40.99,41.7,1745663.0
002932.XSHE,2021-10-28,2021-9-24,40.79,40.53,40.3,41.14,2002713.0
002932.XSHE,2021-10-28,2021-9-27,40.58,40.37,39.84,41.24,2024714.0
002932.XSHE,2021-10-28,2021-9-28,40.49,40.07,39.83,40.61,1165042.0
002932.XSHE,2021-10-28,2021-9-29,39.82,38.84,38.83,39.82,1874229.0
002932.XSHE,2021-10-28,2021-9-30,38.95,39.46,38.95,39.78,1115546.0
002932.XSHE,2021-10-28,2021-10-8,39.4,40.15,38.22,40.23,2264095.0
002932.XSHE,2021-10-28,2021-10-11,40.1,39.56,39.45,40.79,1684465.0
002932.XSHE,2021-10-28,2021-10-12,41.69,43.52,41.66,43.52,6526420.0
002932.XSHE,2021-10-28,2021-10-13,43.91,44.53,42.83,44.8,8912348.0
002932.XSHE,2021-10-28,2021-10-14,43.71,43.06,42.64,43.85,4577875.0
002932.XSHE,2021-10-28,2021-10-15,42.77,43.15,42.01,43.5,3193103.0
002932.XSHE,2021-10-28,2021-10-18,42.65,42.69,41.72,43.2,2775914.0
002932.XSHE,2021-10-28,2021-10-19,42.75,44.87,42.74,45.18,5749497.0
002932.XSHE,2021-10-28,2021-10-20,44.49,44.24,43.66,45.13,3718812.0
002932.XSHE,2021-10-28,2021-10-21,44.01,44.87,43.85,45.19,4620771.0
002932.XSHE,2021-10-28,2021-10-22,44.94,45.18,44.48,45.81,4389201.0
002932.XSHE,2021-10-28,2021-10-25,45.89,44.68,44.59,46.25,3762815.0
002932.XSHE,2021-10-28,2021-10-26,43.9,43.2,42.75,43.92,3630315.0
002932.XSHE,2021-10-28,2021-10-27,43.29,43.53,43.2,44.14,2784933.0
002932.XSHE,2021-10-28,2021-10-28,43.53,45.37,42.15,46.93,6493507.0
002932.XSHE,2021-10-28,2021-10-29,45.29,45.46,44.85,46.63,5051165.0
002932.XSHE,2021-10-28,2021-11-1,45.48,45.79,44.87,46.39,4642151.0
002932.XSHE,2021-10-28,2021-11-2,45.2,43.95,43.52,46.1,4509835.0
002932.XSHE,2021-10-28,2021-11-3,44.94,47.15,44.55,47.45,9155357.0
002932.XSHE,2021-10-28,2021-11-4,46.45,46.81,46.15,47.29,4917024.0
002932.XSHE,2021-10-28,2021-11-5,46.81,45.32,45.2,47.58,5527664.0
002932.XSHE,2021-10-28,2021-11-8,45.35,42.75,42.59,45.38,5600757.0
002932.XSHE,2021-10-28,2021-11-9,42.75,43.27,41.69,43.28,3340778.0
002932.XSHE,2021-10-28,2021-11-10,42.96,42.89,41.94,43.18,3062441.0
002932.XSHE,2021-10-28,2021-11-11,42.64,42.85,42.16,43.02,2020826.0
002932.XSHE,2021-10-28,2021-11-12,43.6,43.37,43.06,44.27,2724019.0
002932.XSHE,2021-10-28,2021-11-15,43.13,44.29,43.1,44.73,3719439.0
002932.XSHE,2021-10-28,2021-11-16,43.92,44.12,43.64,44.77,2616715.0
002932.XSHE,2021-10-28,2021-11-17,43.92,43.2,42.91,44.01,3121851.0
002932.XSHE,2021-10-28,2021-11-18,43.03,42.47,42.43,43.14,2279664.0
002932.XSHE,2021-10-28,2021-11-19,42.47,42.92,42.26,43.06,2168751.0
002932.XSHE,2021-10-28,2021-11-22,43.04,44.52,43.04,45.18,4758576.0
002932.XSHE,2021-10-28,2021-11-23,43.28,43.64,42.57,44.11,4026391.0
002932.XSHE,2021-10-28,2021-11-24,43.46,43.34,43.04,43.8,2460076.0
002932.XSHE,2021-10-28,2021-11-25,43.25,44.02,42.98,44.78,3577132.0
002932.XSHE,2021-10-28,2021-11-26,45.83,45.35,44.81,47.42,7147047.0